Rank,Title.href,Title.text,Category.href,Category.text,App URL.href,App URL.text,index,url
1,https://itunes.apple.com/us/app/five-nights-at-freddys-4/id1023146677?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Five Nights at Freddys 4,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/five-nights-at-freddys-4/id1023146677?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,1,https://www.apple.com/itunes/charts/paid-apps/
2,https://itunes.apple.com/us/app/minecraft-pocket-edition/id479516143?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Minecraft: Pocket Edition,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/minecraft-pocket-edition/id479516143?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,2,https://www.apple.com/itunes/charts/paid-apps/
3,https://itunes.apple.com/us/app/heads-up!/id623592465?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Heads Up!,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/heads-up!/id623592465?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,3,https://www.apple.com/itunes/charts/paid-apps/
4,https://itunes.apple.com/us/app/the-7-second-challenge/id1005017298?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,The 7 Second Challenge,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/the-7-second-challenge/id1005017298?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,4,https://www.apple.com/itunes/charts/paid-apps/
5,https://itunes.apple.com/us/app/fruit-ninja/id362949845?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Fruit Ninja,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/fruit-ninja/id362949845?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,5,https://www.apple.com/itunes/charts/paid-apps/
6,https://itunes.apple.com/us/app/mods-for-minecraft-pocket/id621013863?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Mods for Minecraft Pocket Edition,https://itunes.apple.com/us/genre/ios-entertainment/id6016?mt=8&uo=2&l=en,Entertainment,https://itunes.apple.com/us/app/mods-for-minecraft-pocket/id621013863?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,6,https://www.apple.com/itunes/charts/paid-apps/
7,https://itunes.apple.com/us/app/farming-simulator-16/id992051355?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Farming Simulator 16,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/farming-simulator-16/id992051355?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,7,https://www.apple.com/itunes/charts/paid-apps/
8,https://itunes.apple.com/us/app/akinator-the-genie/id484090401?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Akinator the Genie,https://itunes.apple.com/us/genre/ios-entertainment/id6016?mt=8&uo=2&l=en,Entertainment,https://itunes.apple.com/us/app/akinator-the-genie/id484090401?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,8,https://www.apple.com/itunes/charts/paid-apps/
9,https://itunes.apple.com/us/app/plague-inc./id525818839?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Plague Inc.,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/plague-inc./id525818839?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,9,https://www.apple.com/itunes/charts/paid-apps/
10,https://itunes.apple.com/us/app/game-life-classic-edition/id326912270?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,THE GAME OF LIFE Classic Edition,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/game-life-classic-edition/id326912270?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,10,https://www.apple.com/itunes/charts/paid-apps/
11,https://itunes.apple.com/us/app/afterlight/id573116090?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Afterlight,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/afterlight/id573116090?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,11,https://www.apple.com/itunes/charts/paid-apps/
12,https://itunes.apple.com/us/app/geometry-dash/id625334537?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Geometry Dash,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/geometry-dash/id625334537?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,12,https://www.apple.com/itunes/charts/paid-apps/
13,https://itunes.apple.com/us/app/monopoly-game/id337021781?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,MONOPOLY Game,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/monopoly-game/id337021781?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,13,https://www.apple.com/itunes/charts/paid-apps/
14,https://itunes.apple.com/us/app/facetune/id606310581?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Facetune,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/facetune/id606310581?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,14,https://www.apple.com/itunes/charts/paid-apps/
